"Breast Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2013-2017"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",15-19,0.1532,0.0284,0.1026,0.2200
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",20-24,1.6303,0.0895,1.4597,1.8155
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",25-29,9.9973,0.2187,9.5731,10.4354
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",30-34,29.3759,0.3814,28.6332,30.1331
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",35-39,64.3901,0.5815,63.2553,65.5401
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",40-44,130.7305,0.8313,129.1061,132.3702
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",45-49,197.0963,0.9993,195.1425,199.0647
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",50-54,236.3788,1.0692,234.2878,238.4839
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",55-59,268.9955,1.1558,266.7350,271.2705
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",60-64,342.3217,1.3923,339.5982,345.0617
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",65-69,426.5198,1.7008,423.1928,429.8665
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",70-74,470.2441,2.0863,466.1638,474.3512
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",75-79,458.8889,2.4155,454.1667,463.6480
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",80-84,413.5124,2.6289,408.3756,418.6976
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",85+,326.0690,2.0919,321.9817,330.1953
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,0.1550,0.0288,0.1038,0.2225
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,1.6461,0.0903,1.4738,1.8330
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,10.0849,0.2207,9.6571,10.5269
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,29.6396,0.3848,28.8901,30.4036
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,64.9667,0.5867,63.8217,66.1270
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,131.8887,0.8387,130.2500,133.5430
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,198.8403,1.0082,196.8691,200.8261
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,238.1818,1.0774,236.0748,240.3029
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,271.0841,1.1648,268.8060,273.3767
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,344.9945,1.4032,342.2497,347.7559
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,429.4365,1.7124,426.0867,432.8060
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,473.5179,2.1009,469.4091,477.6536
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,462.0131,2.4319,457.2587,466.8045
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,416.2883,2.6466,411.1170,421.5083
Female,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,328.2231,2.1057,324.1087,332.3765
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",20-24,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",25-29,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",30-34,20.7259,3.4543,14.5161,28.6933
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",35-39,39.6447,5.0349,30.3954,50.8228
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",40-44,72.7721,7.1359,59.4600,88.1755
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",45-49,102.8668,8.5426,86.8053,121.0386
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",50-54,123.2598,9.1872,105.9102,142.6408
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",55-59,171.6312,11.3666,150.0745,195.4150
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",60-64,255.5046,15.4922,226.0396,287.7437
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",65-69,266.3608,18.4246,231.4712,305.0246
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",70-74,297.3429,23.7305,252.6508,347.6628
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",75-79,294.9606,28.6491,241.4896,356.7464
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",80-84,259.8415,33.5454,198.2864,334.4675
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",85+,238.8169,33.1180,178.3599,313.1766
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,22.3167,3.7226,15.6252,30.8439
